label,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,65,0.76,0.887,9,-1.993,1,0.0409,0.037,0.0,0.138,0.24,130.018,193160
0,58,0.706,0.457,4,-9.359,1,0.0383,0.282,0.00849,0.0614,0.723,78.014,209165
0,33,0.414,0.806,7,-2.892,1,0.0665,0.00792,9.33e-05,0.0488,0.77,96.044,208827
0,51,0.646,0.831,10,-4.164,1,0.0523,0.11,1.04e-05,0.134,0.486,127.957,211875
0,48,0.703,0.599,4,-8.687,1,0.138,0.402,0.000572,0.243,0.312,112.017,280640
0,58,0.619,0.938,5,-5.245,1,0.35,0.0257,1.39e-05,0.128,0.601,94.38,207428
0,70,0.734,0.607,8,-7.249,0,0.0806,0.0747,0.000577,0.0968,0.518,90.023,258853
0,49,0.676,0.788,9,-4.596,0,0.0428,0.1,0.254,0.326,0.688,123.018,253444
0,57,0.531,0.724,8,-7.341,1,0.0283,0.0243,0.0515,0.112,0.288,145.022,202478
0,67,0.802,0.607,11,-11.028,0,0.289,0.205,0.000748,0.246,0.274,96.916,261881
0,66,0.802,0.904,11,-3.267,0,0.0459,0.00108,0.0,0.173,0.961,128.931,192533
0,71,0.747,0.705,9,-5.137,0,0.126,0.0128,0.0,0.126,0.56,136.024,213507
0,36,0.654,0.312,4,-10.212,1,0.0508,0.429,8.59e-06,0.19,0.304,119.9,73813
0,51,0.71,0.925,0,-3.329,1,0.0359,0.039,0.0,0.127,0.93,118.024,222987
0,46,0.44,0.652,0,-6.201,0,0.079,0.0357,0.000136,0.0587,0.5,93.353,188107
0,54,0.768,0.676,11,-6.252,1,0.138,0.174,0.00021,0.152,0.61,109.96,173340
0,55,0.555,0.8,0,-4.835,1,0.0776,0.0353,0.0,0.0783,0.801,174.007,175027
0,79,0.394,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.044,228360
0,56,0.284,0.609,3,-6.033,1,0.123,0.0438,0.0,0.177,0.521,85.386,196763
0,47,0.65,0.903,11,-5.045,0,0.0381,0.000259,0.156,0.905,0.545,119.998,201040
0,80,0.63,0.694,11,-6.257,0,0.0253,0.00281,0.0,0.0719,0.216,97.005,195519
0,39,0.491,0.673,4,-10.568,0,0.0287,0.186,0.0,0.369,0.681,88.139,167045
0,71,0.739,0.742,7,-4.586,1,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,189000
0,5,0.712,0.327,6,-13.86,0,0.0304,0.162,0.0787,0.109,0.113,119.983,309591
0,58,0.661,0.78,1,-4.738,1,0.0832,0.0616,0.0,0.23,0.623,116.025,189274
0,34,0.571,0.821,5,-6.715,1,0.0315,0.455,0.769,0.136,0.535,79.979,230000
0,69,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,234507
0,12,0.602,0.874,1,-5.906,0,0.0428,0.00476,0.0192,0.108,0.612,125.017,467585
0,56,0.722,0.559,10,-5.249,0,0.0342,0.187,8.96e-06,0.125,0.255,110.065,234293
0,79,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,217707
0,69,0.737,0.764,0,-5.511,1,0.0947,0.111,0.0,0.0423,0.924,92.044,166213
0,49,0.686,0.613,2,-5.614,1,0.069,0.0386,0.0,0.251,0.452,104.988,206875
0,52,0.806,0.439,8,-8.917,1,0.068,0.0625,0.00767,0.098,0.489,131.056,148238
0,49,0.646,0.412,4,-10.929,0,0.111,0.145,0.0,0.111,0.276,161.878,121482
0,77,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039
0,70,0.533,0.783,7,-10.61,1,0.0366,0.0116,0.0565,0.186,0.726,124.874,234907
0,53,0.457,0.883,10,-5.61,0,0.0376,0.209,5.11e-06,0.0912,0.736,99.937,181773
0,40,0.63,0.889,8,-3.863,1,0.0441,0.0883,0.0,0.107,0.693,132.033,178053
0,38,0.455,0.51,1,-10.02,1,0.0488,0.523,0.0761,0.0826,0.0368,100.145,254257
0,83,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493
0,53,0.673,0.795,2,-6.21,1,0.0309,0.0555,0.0111,0.117,0.437,105.025,180571
0,4,0.659,0.927,8,-6.16,1,0.0427,0.225,0.0191,0.108,0.327,124.009,337453
0,81,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,200787
0,9,0.617,0.723,7,-2.394,0,0.0342,0.149,1.29e-06,0.133,0.236,95.0,266790
0,84,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,184732
0,69,0.576,0.782,6,-4.825,0,0.0296,0.00778,0.0,0.285,0.355,141.153,224031
0,34,0.836,0.47,9,-11.828,0,0.211,0.527,0.000131,0.0963,0.317,110.014,170400
0,33,0.605,0.789,4,-7.035,0,0.0338,0.00219,0.0178,0.127,0.434,136.041,243800
0,57,0.946,0.493,8,-9.654,1,0.0509,0.162,0.297,0.0875,0.592,120.012,270000
0,72,0.63,0.934,4,-2.559,1,0.0589,0.0186,0.0,0.324,0.905,89.992,182960
0,73,0.51,0.882,8,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029,216721
0,79,0.63,0.928,9,-2.787,0,0.0331,0.199,0.124,0.148,0.465,123.963,222160
0,2,0.717,0.679,2,-11.766,1,0.0528,0.169,0.038,0.109,0.528,111.975,340582
0,75,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0112,0.183,0.261,130.969,307880
0,60,0.844,0.362,2,-10.071,1,0.0363,0.568,0.771,0.109,0.202,115.987,238667
0,55,0.728,0.794,1,-3.992,1,0.0635,0.148,0.0,0.0688,0.523,112.071,194360
0,45,0.609,0.842,5,-3.034,0,0.0419,0.0645,0.0,0.0828,0.792,100.078,213622
0,51,0.216,0.24,10,-12.598,1,0.0406,0.843,6.09e-06,0.135,0.0875,128.679,211093
0,38,0.645,0.578,8,-6.818,0,0.039,0.0171,0.0,0.0815,0.536,97.95,181905
0,0,0.383,0.569,0,-10.407,1,0.055,0.883,0.106,0.124,0.524,180.036,231364
0,54,0.758,0.519,0,-5.832,0,0.0362,0.116,0.0,0.183,0.417,92.99,176827
0,39,0.477,0.379,9,-6.735,1,0.205,0.197,0.0,0.235,0.596,100.847,171735
0,44,0.749,0.688,3,-6.446,1,0.0289,0.0504,0.0,0.0902,0.668,106.991,197240
0,55,0.631,0.951,5,-6.203,1,0.0439,0.108,0.836,0.173,0.703,124.007,219715
0,58,0.407,0.925,11,-4.155,0,0.0747,0.0113,0.0025,0.192,0.119,151.993,214733
0,0,0.573,0.901,7,-6.263,1,0.0325,0.0269,0.433,0.0741,0.468,100.018,242005
0,23,0.633,0.936,2,-4.233,1,0.032,0.00481,0.0247,0.0745,0.887,116.055,205520
0,61,0.775,0.723,0,-4.095,1,0.0468,0.282,0.000371,0.126,0.756,104.991,194286
0,48,0.824,0.556,0,-10.711,0,0.033,0.146,0.000394,0.0839,0.566,108.858,245640
0,45,0.708,0.78,8,-8.377,1,0.0585,0.248,0.0101,0.107,0.619,104.973,200637
0,84,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,173800
0,17,0.679,0.634,5,-5.024,0,0.0654,0.232,0.0,0.115,0.498,102.013,210091
0,13,0.651,0.946,6,-4.717,1,0.101,0.13,0.0,0.148,0.508,91.911,228333
